,0_x,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15_x,16_x,17_x,18_x,19_x,0_y,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,11_y,12_y,13_y,14_y,15_y,16_y,17_y,18_y,19_y,20,21,22
49,Köp,White Fleet - Finserve Gbl Esports R SEK,White Fleet - Finserve Gbl Esports R SEK,White Fleet - Finserve Gbl Esports R SEK,,,Övriga aktiefonder,-,–,–,2,–,Hög (6 av 7),, ,Expandera, , , , ,Köp,White Fleet - Finserve Gbl Esports R SEK,White Fleet - Finserve Gbl Esports R SEK,White Fleet - Finserve Gbl Esports R SEK,,,1.04,-3.25,0.1,3.49,–,–,–,–,–,, ,Expandera, , , , , 
50,Köp,Vontobel Asia Pacific Equity B USD,Vontobel Asia Pacific Equity B USD,Vontobel Asia Pacific Equity B USD,,,Asien & Australien ex Japan,4/5,,-1.18,2, 24 24 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,Vontobel Asia Pacific Equity B USD,Vontobel Asia Pacific Equity B USD,Vontobel Asia Pacific Equity B USD,,,0.41,-3.23,1.68,1.87,-3.14,-1.18,31.2,59.45,114.13,, ,Expandera, , , , , 
0,,Fond,,,Kategori,Rating,1 år,Årlig avgift,Hållbarhet,Risk,,,,,,,,,,,,Fond,,,1 dag,1 vecka,1 mån,3 mån,i år,1 år,3 år,5 år,10 år,,,,,,,,,,
1,Köp,Vontobel Commodity B USD,Vontobel Commodity B USD,Vontobel Commodity B USD,,,Råvaror - Blandade,-,–,-7.57,1.85, 27 27 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Vontobel Commodity B USD,Vontobel Commodity B USD,Vontobel Commodity B USD,,,0.03,-1.82,-1.6,2.22,-12.21,-7.57,-2.38,-3.53,-31.58,, ,Expandera, , , , , 
2,Köp,Vontobel Emerging Markets Eq B USD,Vontobel Emerging Markets Eq B USD,Vontobel Emerging Markets Eq B USD,,,Tillväxtmarknader,4/5,,-6.54,2.04, 23 23 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Vontobel Emerging Markets Eq B USD,Vontobel Emerging Markets Eq B USD,Vontobel Emerging Markets Eq B USD,,,-0.34,-2.8,0.94,3.47,-8.2,-6.54,11.75,39.06,78.63,, ,Expandera, , , , , 
3,Köp,Vontobel European Equity B EUR,Vontobel European Equity B EUR,Vontobel European Equity B EUR,,,"Europa, tillväxtbolag",3/5,,0.03,1.99, 21 21 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Vontobel European Equity B EUR,Vontobel European Equity B EUR,Vontobel European Equity B EUR,,,1.24,-0.78,1.62,3.57,-2.81,0.03,21.69,35.34,134.52,, ,Expandera, , , , , 
4,Köp,Vontobel Global Equity B USD,Vontobel Global Equity B USD,Vontobel Global Equity B USD,,,"Global, tillväxtbolag",4/5,,4.25,1.99, 21 21 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,Vontobel Global Equity B USD,Vontobel Global Equity B USD,Vontobel Global Equity B USD,,,1.16,-3.32,2.56,4.79,1.23,4.25,50.59,85.3,250.9,, ,Expandera, , , , , 
5,Köp,Vontobel Global Equity Income B USD,Vontobel Global Equity Income B USD,Vontobel Global Equity Income B USD,,,"Global, stor utdelning",3/5,,-9.74,1.93, 22 22 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,Vontobel Global Equity Income B USD,Vontobel Global Equity Income B USD,Vontobel Global Equity Income B USD,,,0.84,-0.93,1.93,-2.18,-10.67,-9.74,14.24,–,–,, ,Expandera, , , , , 
6,Köp,Vontobel mtx China Leaders B USD,Vontobel mtx China Leaders B USD,Vontobel mtx China Leaders B USD,,,Kina,3/5,,-0.64,2.16, 26 26 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Vontobel mtx China Leaders B USD,Vontobel mtx China Leaders B USD,Vontobel mtx China Leaders B USD,,,0.09,-3.63,-0.48,-0.92,-6.53,-0.64,15.55,80.88,147.95,, ,Expandera, , , , , 
7,Köp,Vontobel mtx Sust AsLdrs ExJpn B USD,Vontobel mtx Sust AsLdrs ExJpn B USD,Vontobel mtx Sust AsLdrs ExJpn B USD,,,Asien ex Japan,4/5,,4.61,2.04, 25 25 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Vontobel mtx Sust AsLdrs ExJpn B USD,Vontobel mtx Sust AsLdrs ExJpn B USD,Vontobel mtx Sust AsLdrs ExJpn B USD,,,0.5,-2.81,0.75,2.24,-0.93,4.61,23.51,89.03,162.74,, ,Expandera, , , , , 
8,Köp,Vontobel mtx Sust EmMkts Ldrs B USD,Vontobel mtx Sust EmMkts Ldrs B USD,Vontobel mtx Sust EmMkts Ldrs B USD,,,Tillväxtmarknader,5/5,,0.76,2.02, 24 24 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Vontobel mtx Sust EmMkts Ldrs B USD,Vontobel mtx Sust EmMkts Ldrs B USD,Vontobel mtx Sust EmMkts Ldrs B USD,,,-0.54,-2.57,-0.59,1.97,-5.36,0.76,22.42,82.89,–,, ,Expandera, , , , , 
9,Köp,Vontobel US Equity B USD,Vontobel US Equity B USD,Vontobel US Equity B USD,,,"USA, tillväxtbolag",3/5,,0.87,1.97, 22 22 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Vontobel US Equity B USD,Vontobel US Equity B USD,Vontobel US Equity B USD,,,1.45,-4,2.69,3.03,-1.33,0.87,59.19,99.4,347.7,, ,Expandera, , , , , 
10,Köp,Ålandsbanken Euro Bond B,Ålandsbanken Euro Bond B,Ålandsbanken Euro Bond B,,,"Ränte - euro obligationer, medellånga",5/5,,-4.27,0.69, 24 24 av 100,Låg (2 av 7),, ,Expandera, , , , ,Köp,Ålandsbanken Euro Bond B,Ålandsbanken Euro Bond B,Ålandsbanken Euro Bond B,,,-0.46,0.29,1.11,1.73,-2.76,-4.27,9.19,17.84,43.77,, ,Expandera, , , , , 
11,Köp,Ålandsbanken Euro Bond SEK,Ålandsbanken Euro Bond SEK,Ålandsbanken Euro Bond SEK,,,Ränte - övriga obligationer ,-,–,-1.17,0.69, 24 24 av 100,Låg (2 av 7),, ,Expandera, , , , ,Köp,Ålandsbanken Euro Bond SEK,Ålandsbanken Euro Bond SEK,Ålandsbanken Euro Bond SEK,,,-0.06,-0.03,0.73,2.38,-1.34,-1.17,0.7,6.16,–,, ,Expandera, , , , , 
12,Köp,Ålandsbanken Euro High Yield B,Ålandsbanken Euro High Yield B,Ålandsbanken Euro High Yield B,,,"Ränte - euro obligationer, högrisk",2/5,,-9.35,1,–,Medel (3 av 7),, ,Expandera, , , , ,Köp,Ålandsbanken Euro High Yield B,Ålandsbanken Euro High Yield B,Ålandsbanken Euro High Yield B,,,-0.4,0.46,2.64,3.05,-8.45,-9.35,6.93,21.78,59.19,, ,Expandera, , , , , 
13,Köp,Ålandsbanken Europa Aktie B,Ålandsbanken Europa Aktie B,Ålandsbanken Europa Aktie B,,,"Europa, mix bolag",3/5,,-2.39,1.4, 22 22 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Ålandsbanken Europa Aktie B,Ålandsbanken Europa Aktie B,Ålandsbanken Europa Aktie B,,,1.34,0.32,3.29,1.92,-8.07,-2.39,8.27,20.83,62.02,, ,Expandera, , , , , 
14,Köp,Ålandsbanken Lyhyt Yrityskorko,Ålandsbanken Lyhyt Yrityskorko,Ålandsbanken Lyhyt Yrityskorko,,,"Ränte - euro obligationer, korta",4/5,,-3.88,0.45, 25 25 av 100,Låg (1 av 7),, ,Expandera, , , , ,Köp,Ålandsbanken Lyhyt Yrityskorko,Ålandsbanken Lyhyt Yrityskorko,Ålandsbanken Lyhyt Yrityskorko,,,-0.4,0.36,1.05,1.46,-2.48,-3.88,8.17,11.19,23.18,, ,Expandera, , , , , 
15,Köp,Ålandsbanken Maailma Osake B,Ålandsbanken Maailma Osake B,Ålandsbanken Maailma Osake B,,,"Global, mix bolag",2/5,,0.16,1.81, 24 24 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Ålandsbanken Maailma Osake B,Ålandsbanken Maailma Osake B,Ålandsbanken Maailma Osake B,,,0.79,-3.19,2.45,0.55,-4.81,0.16,33.38,38.74,83.62,, ,Expandera, , , , , 
16,Köp,Ålandsbanken Norden Aktie EUR,Ålandsbanken Norden Aktie EUR,Ålandsbanken Norden Aktie EUR,,,Norden,1/5,,11.87,1.4, 19 19 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Ålandsbanken Norden Aktie EUR,Ålandsbanken Norden Aktie EUR,Ålandsbanken Norden Aktie EUR,,,1.55,1.18,4.8,8.06,3.45,11.87,15.76,35.45,–,, ,Expandera, , , , , 
17,Köp,Ålandsbanken Norden Aktie SEK,Ålandsbanken Norden Aktie SEK,Ålandsbanken Norden Aktie SEK,,,Norden,1/5,,11.91,1.4, 19 19 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Ålandsbanken Norden Aktie SEK,Ålandsbanken Norden Aktie SEK,Ålandsbanken Norden Aktie SEK,,,1.54,1.12,4.81,8,3.98,11.91,15.73,35.22,–,, ,Expandera, , , , , 
18,Köp,Ålandsbanken Premium 30 SEK,Ålandsbanken Premium 30 SEK,Ålandsbanken Premium 30 SEK,,,"Blandfond - SEK, försiktig",2/5,,1,1.3, 25 25 av 100,Medel (4 av 7),, ,Expandera, , , , ,Köp,Ålandsbanken Premium 30 SEK,Ålandsbanken Premium 30 SEK,Ålandsbanken Premium 30 SEK,,,0.53,-0.19,2.1,2.85,0.07,1,5.5,8.01,–,, ,Expandera, , , , , 
19,Köp,Ålandsbanken Premium 50 SEK,Ålandsbanken Premium 50 SEK,Ålandsbanken Premium 50 SEK,,,"Blandfond - SEK, balanserad",2/5,,3.16,1.5, 23 23 av 100,Medel (4 av 7),, ,Expandera, , , , ,Köp,Ålandsbanken Premium 50 SEK,Ålandsbanken Premium 50 SEK,Ålandsbanken Premium 50 SEK,,,0.78,-0.45,2.59,3.2,0.58,3.16,9.02,16,–,, ,Expandera, , , , , 
20,Köp,Öhman Etisk Emerging Markets A,Öhman Etisk Emerging Markets A,Öhman Etisk Emerging Markets A,,,Tillväxtmarknader,5/5,,6.41,0.93, 24 24 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Etisk Emerging Markets A,Öhman Etisk Emerging Markets A,Öhman Etisk Emerging Markets A,,,-0.76,-2.49,-0.25,5.58,-1.88,6.41,28.8,84.8,–,, ,Expandera, , , , , 
21,Köp,Öhman Etisk Index Europa,Öhman Etisk Index Europa,Öhman Etisk Index Europa,,,"Europa, mix bolag",4/5,,-1.3,0.68, 20 20 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Etisk Index Europa,Öhman Etisk Index Europa,Öhman Etisk Index Europa,,,1.39,-0.08,2.64,1.39,-7.55,-1.3,21.17,32.03,100.68,, ,Expandera, , , , , 
22,Köp,Öhman Etisk Index Japan,Öhman Etisk Index Japan,Öhman Etisk Index Japan,,,Japan,4/5,,-1.91,0.69, 22 22 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Etisk Index Japan,Öhman Etisk Index Japan,Öhman Etisk Index Japan,,,-1.72,-0.59,3.41,-4.07,-8.28,-1.91,24.15,38.78,105.38,, ,Expandera, , , , , 
23,Köp,Öhman Etisk Index Pacific,Öhman Etisk Index Pacific,Öhman Etisk Index Pacific,,,Asien & Australien ex Japan & Kina,5/5,,-11.03,0.68, 20 20 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Etisk Index Pacific,Öhman Etisk Index Pacific,Öhman Etisk Index Pacific,,,-1.4,-2.21,2.4,-1.58,-10.68,-11.03,18.67,43.58,94.24,, ,Expandera, , , , , 
24,Köp,Öhman Etisk Index Sverige A,Öhman Etisk Index Sverige A,Öhman Etisk Index Sverige A,,,Sverige,2/5,,12.69,0.49, 20 20 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Etisk Index Sverige A,Öhman Etisk Index Sverige A,Öhman Etisk Index Sverige A,,,1.65,1.59,4.33,7.9,3.11,12.69,29.29,48.02,150.57,, ,Expandera, , , , , 
25,Köp,Öhman Etisk Index Sverige B,Öhman Etisk Index Sverige B,Öhman Etisk Index Sverige B,,,Sverige,2/5,,12.56,0.49, 20 20 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Etisk Index Sverige B,Öhman Etisk Index Sverige B,Öhman Etisk Index Sverige B,,,1.65,1.59,4.33,7.91,3,12.56,28.93,47.66,149.48,, ,Expandera, , , , , 
26,Köp,Öhman Etisk Index USA A,Öhman Etisk Index USA A,Öhman Etisk Index USA A,,,"USA, mix bolag",4/5,,3.87,0.66, 20 20 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Etisk Index USA A,Öhman Etisk Index USA A,Öhman Etisk Index USA A,,,1.4,-4.22,1.38,0.78,-1.67,3.87,61.38,94.77,321.73,, ,Expandera, , , , , 
27,Köp,Öhman Etisk Index USA B,Öhman Etisk Index USA B,Öhman Etisk Index USA B,,,"USA, mix bolag",4/5,,3.73,0.66, 20 20 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Etisk Index USA B,Öhman Etisk Index USA B,Öhman Etisk Index USA B,,,1.4,-4.22,1.38,0.76,-1.8,3.73,60.93,94.08,298.78,, ,Expandera, , , , , 
28,Köp,Öhman FRN Hållbar A,Öhman FRN Hållbar A,Öhman FRN Hållbar A,,,"Ränte - SEK obligationer,företag",3/5,,0.4,0.61, 21 21 av 100,Låg (2 av 7),, ,Expandera, , , , ,Köp,Öhman FRN Hållbar A,Öhman FRN Hållbar A,Öhman FRN Hållbar A,,,0.04,0.11,0.69,1.93,0.00,0.4,2.25,4.6,–,, ,Expandera, , , , , 
29,Köp,Öhman FRN Hållbar B,Öhman FRN Hållbar B,Öhman FRN Hållbar B,,,"Ränte - SEK obligationer,företag",3/5,,0.32,0.61, 21 21 av 100,Låg (2 av 7),, ,Expandera, , , , ,Köp,Öhman FRN Hållbar B,Öhman FRN Hållbar B,Öhman FRN Hållbar B,,,0.03,0.1,0.67,1.86,-0.1,0.32,2.15,4.41,–,, ,Expandera, , , , , 
30,Köp,Öhman Företagsobligation Hållbar A,Öhman Företagsobligation Hållbar A,Öhman Företagsobligation Hållbar A,,,"Ränte - SEK obligationer,företag",3/5,,0.37,0.61,–,Låg (2 av 7),, ,Expandera, , , , ,Köp,Öhman Företagsobligation Hållbar A,Öhman Företagsobligation Hållbar A,Öhman Företagsobligation Hållbar A,,,-0.01,0.14,0.7,2.16,1,0.37,2.64,4.91,–,, ,Expandera, , , , , 
31,Köp,Öhman Företagsobligationsfond A,Öhman Företagsobligationsfond A,Öhman Företagsobligationsfond A,,,"Ränte - SEK obligationer,företag",4/5,,-0.73,1.01, 21 21 av 100,Medel (3 av 7),, ,Expandera, , , , ,Köp,Öhman Företagsobligationsfond A,Öhman Företagsobligationsfond A,Öhman Företagsobligationsfond A,,,-0.03,0.07,0.6,1.99,-0.06,-0.73,1.92,6.31,39.16,, ,Expandera, , , , , 
32,Köp,Öhman Företagsobligationsfond B utd,Öhman Företagsobligationsfond B utd,Öhman Företagsobligationsfond B utd,,,"Ränte - SEK obligationer,företag",4/5,,-0.7,1.01, 21 21 av 100,Medel (3 av 7),, ,Expandera, , , , ,Köp,Öhman Företagsobligationsfond B utd,Öhman Företagsobligationsfond B utd,Öhman Företagsobligationsfond B utd,,,-0.04,0.07,0.6,2,-0.98,-0.7,1.97,6.46,39.48,, ,Expandera, , , , , 
33,Köp,Öhman Global Growth,Öhman Global Growth,Öhman Global Growth,,,"Branschfond, ny teknik",5/5,,46.44,1.86, 22 22 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Global Growth,Öhman Global Growth,Öhman Global Growth,,,1.25,-6.14,-1.65,5.8,28.93,46.44,115.68,206.51,538.46,, ,Expandera, , , , , 
34,Köp,Öhman Global Hållbar A,Öhman Global Hållbar A,Öhman Global Hållbar A,,,"Global, mix bolag",5/5,,6.9,1.3, 23 23 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Global Hållbar A,Öhman Global Hållbar A,Öhman Global Hållbar A,,,1.07,-3.59,0.31,1.68,-0.79,6.9,47.97,86.48,238.07,, ,Expandera, , , , , 
35,Köp,Öhman Global Hållbar B,Öhman Global Hållbar B,Öhman Global Hållbar B,,,"Global, mix bolag",5/5,,6.77,1.3, 23 23 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Global Hållbar B,Öhman Global Hållbar B,Öhman Global Hållbar B,,,1.07,-3.6,0.31,1.68,-0.87,6.77,47.56,86,237.2,, ,Expandera, , , , , 
36,Köp,Öhman Global Marknad Hållbar A,Öhman Global Marknad Hållbar A,Öhman Global Marknad Hållbar A,,,"Global, mix bolag",-,–,3.85,0.42, 18 18 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Global Marknad Hållbar A,Öhman Global Marknad Hållbar A,Öhman Global Marknad Hållbar A,,,1.1,-3.04,2.14,1.24,-2.35,3.85,–,–,–,, ,Expandera, , , , , 
37,Köp,Öhman Global Småbolag Hållbar A,Öhman Global Småbolag Hållbar A,Öhman Global Småbolag Hållbar A,,,"Global, småbolag",-,–,–,1.51, 26 26 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,Öhman Global Småbolag Hållbar A,Öhman Global Småbolag Hållbar A,Öhman Global Småbolag Hållbar A,,,1.09,-2.28,3.1,4.54,-4.75,–,–,–,–,, ,Expandera, , , , , 
38,Köp,Öhman Grön Obligationsfond A,Öhman Grön Obligationsfond A,Öhman Grön Obligationsfond A,,,"Ränte - SEK obligationer, medellånga",-,–,0.44,0.62,–,Låg (2 av 7),, ,Expandera, , , , ,Köp,Öhman Grön Obligationsfond A,Öhman Grön Obligationsfond A,Öhman Grön Obligationsfond A,,,-0.03,0.14,0.57,1.83,0.92,0.44,–,–,–,, ,Expandera, , , , , 
39,Köp,Öhman Grön Obligationsfond B,Öhman Grön Obligationsfond B,Öhman Grön Obligationsfond B,,,"Ränte - SEK obligationer, medellånga",-,–,0.47,0.62,–,Låg (2 av 7),, ,Expandera, , , , ,Köp,Öhman Grön Obligationsfond B,Öhman Grön Obligationsfond B,Öhman Grön Obligationsfond B,,,-0.03,0.14,0.56,1.82,0.94,0.47,–,–,–,, ,Expandera, , , , , 
40,Köp,Öhman Kort Ränta A,Öhman Kort Ränta A,Öhman Kort Ränta A,,,"Ränte - SEK obligationer, korta",-,–,-0.13,0.11,–,Låg (1 av 7),, ,Expandera, , , , ,Köp,Öhman Kort Ränta A,Öhman Kort Ränta A,Öhman Kort Ränta A,,,0.00,0.01,0.03,0.07,0.12,-0.13,-1.17,-2.5,1.47,, ,Expandera, , , , , 
41,Köp,Öhman Navigator A,Öhman Navigator A,Öhman Navigator A,,,"Blandfond - SEK, balanserad",-,–,4.28,1.55, 21 21 av 100,Medel (4 av 7),, ,Expandera, , , , ,Köp,Öhman Navigator A,Öhman Navigator A,Öhman Navigator A,,,0.77,-0.6,1.8,3.37,0.82,4.28,–,–,–,, ,Expandera, , , , , 
42,Köp,Öhman Navigator B,Öhman Navigator B,Öhman Navigator B,,,"Blandfond - SEK, balanserad",-,–,4.13,1.55, 21 21 av 100,Medel (4 av 7),, ,Expandera, , , , ,Köp,Öhman Navigator B,Öhman Navigator B,Öhman Navigator B,,,0.77,-0.6,1.8,3.36,0.7,4.13,–,–,–,, ,Expandera, , , , , 
43,Köp,Öhman Obligationsfond A,Öhman Obligationsfond A,Öhman Obligationsfond A,,,"Ränte - SEK obligationer, långa",3/5,,-0.27,0.13,–,Låg (2 av 7),, ,Expandera, , , , ,Köp,Öhman Obligationsfond A,Öhman Obligationsfond A,Öhman Obligationsfond A,,,-0.04,0.11,0.14,0.79,1.16,-0.27,2.66,4.53,23.46,, ,Expandera, , , , , 
44,Köp,Öhman Obligationsfond SEK A,Öhman Obligationsfond SEK A,Öhman Obligationsfond SEK A,,,"Ränte - SEK obligationer, långa",2/5,,-0.31,0.36,–,Låg (2 av 7),, ,Expandera, , , , ,Köp,Öhman Obligationsfond SEK A,Öhman Obligationsfond SEK A,Öhman Obligationsfond SEK A,,,-0.04,0.11,0.16,0.92,1.14,-0.31,2.89,–,–,, ,Expandera, , , , , 
45,Köp,Öhman Realräntefond A,Öhman Realräntefond A,Öhman Realräntefond A,,,"Ränte - SEK obligationer, reala",3/5,,-5.2,0.51,–,Medel (3 av 7),, ,Expandera, , , , ,Köp,Öhman Realräntefond A,Öhman Realräntefond A,Öhman Realräntefond A,,,-0.09,0.08,-0.33,1.5,-2.91,-5.2,-1.19,4.66,19.5,, ,Expandera, , , , , 
46,Köp,Öhman Räntefond Kompass Hållbar A,Öhman Räntefond Kompass Hållbar A,Öhman Räntefond Kompass Hållbar A,,,"Ränte - SEK obligationer, långa",3/5,,-0.56,0.61,–,Låg (2 av 7),, ,Expandera, , , , ,Köp,Öhman Räntefond Kompass Hållbar A,Öhman Räntefond Kompass Hållbar A,Öhman Räntefond Kompass Hållbar A,,,-0.03,0.1,0.53,1.93,0.31,-0.56,4.09,5.16,–,, ,Expandera, , , , , 
47,Köp,Öhman Småbolagsfond A,Öhman Småbolagsfond A,Öhman Småbolagsfond A,,,"Sverige, små-/medelstora bolag",3/5,,21.98,1.55, 24 24 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Småbolagsfond A,Öhman Småbolagsfond A,Öhman Småbolagsfond A,,,1.31,-1.01,3.79,13.24,8.02,21.98,49.8,92.87,332.09,, ,Expandera, , , , , 
48,Köp,Öhman Sweden Micro Cap A,Öhman Sweden Micro Cap A,Öhman Sweden Micro Cap A,,,"Sverige, små-/medelstora bolag",3/5,,21.27,1.54, 24 24 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Sweden Micro Cap A,Öhman Sweden Micro Cap A,Öhman Sweden Micro Cap A,,,1.16,-1.22,3.49,13.86,5.7,21.27,48.16,90.12,401.36,, ,Expandera, , , , , 
49,Köp,Öhman Sverige Fokus A,Öhman Sverige Fokus A,Öhman Sverige Fokus A,,,Sverige,-,–,10.81,1.56, 22 22 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Sverige Fokus A,Öhman Sverige Fokus A,Öhman Sverige Fokus A,,,1.43,0.19,4.42,7.86,4.45,10.81,–,–,–,, ,Expandera, , , , , 
50,Köp,Öhman Sverige Fokus B,Öhman Sverige Fokus B,Öhman Sverige Fokus B,,,Sverige,-,–,10.79,1.56, 22 22 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Sverige Fokus B,Öhman Sverige Fokus B,Öhman Sverige Fokus B,,,1.43,0.2,4.46,7.92,4.43,10.79,–,–,–,, ,Expandera, , , , , 
0,,Fond,,,Kategori,Rating,1 år,Årlig avgift,Hållbarhet,Risk,,,,,,,,,,,,Fond,,,1 dag,1 vecka,1 mån,3 mån,i år,1 år,3 år,5 år,10 år,,,,,,,,,,
1,Köp,Öhman Sverige Hållbar A,Öhman Sverige Hållbar A,Öhman Sverige Hållbar A,,,Sverige,1/5,,5.32,1.3, 21 21 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Sverige Hållbar A,Öhman Sverige Hållbar A,Öhman Sverige Hållbar A,,,1.5,1.18,4.84,7.26,-1.04,5.32,17.77,28.38,–,, ,Expandera, , , , , 
2,Köp,Öhman Sverige Hållbar B,Öhman Sverige Hållbar B,Öhman Sverige Hållbar B,,,Sverige,1/5,,5.19,1.3, 21 21 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Sverige Hållbar B,Öhman Sverige Hållbar B,Öhman Sverige Hållbar B,,,1.5,1.17,4.8,7.22,-1.18,5.19,17.45,28.1,–,, ,Expandera, , , , , 
3,Köp,Öhman Sverige Marknad Hållbar A,Öhman Sverige Marknad Hållbar A,Öhman Sverige Marknad Hållbar A,,,Sverige,3/5,,12.9,0.31, 20 20 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Öhman Sverige Marknad Hållbar A,Öhman Sverige Marknad Hållbar A,Öhman Sverige Marknad Hållbar A,,,1.65,1.59,4.35,7.99,3.27,12.9,29.97,–,–,, ,Expandera, , , , , 
